hEven,pTran
122650,1980.0
122649,1979.0
122649,1979.0
122645,1979.0
122644,1979.0
122641,1980.0
122641,1980.0
122641,1980.0
122640,1979.0
122640,1979.0
122636,1979.0
122633,1980.0
122632,1979.0
122632,1979.0
122632,1979.0
122628,1979.0
122625,1978.0
122624,1978.0
122622,1978.0
122622,1979.0
122616,1979.0
122612,1979.0
122601,1978.0
122555,1979.0
122554,1979.0
122554,1979.0
122547,1980.0
122545,1980.0
122545,1980.0
122545,1980.0
122545,1980.0
122543,1982.0
122539,1982.0
122539,1982.0
122538,1980.0
122536,1980.0
122536,1980.0
122536,1980.0
122536,1980.0
122536,1980.0
122536,1980.0
122535,1980.0
122535,1980.0
122532,1982.0
122532,1982.0
122528,1981.0
122528,1981.0
122528,1980.0
122528,1980.0
122527,1982.0
122526,1982.0
122526,1982.0
122526,1982.0
122526,1983.0
122523,1982.0
122522,1982.0
122511,1985.0
122511,1985.0
122511,1984.0
122511,1983.0
122509,1984.0
122507,1983.0
122507,1983.0
122500,1983.0
122500,1983.0
122455,1982.0
122454,1983.0
122443,1980.0
122438,1981.0
122438,1980.0
122431,1980.0
122431,1980.0
122428,1980.0
122427,1982.0
122427,1982.0
122425,1980.0
122424,1982.0
122424,1982.0
122424,1982.0
122424,1982.0
122423,1980.0
122420,1980.0
122413,1980.0
122413,1980.0
122413,1980.0
122412,1980.0
122405,1978.0
122405,1978.0
122405,1978.0
122405,1978.0
122405,1978.0
122404,1978.0
122404,1979.0
122404,1980.0
122400,1978.0
122354,1979.0
122351,1979.0
122345,1978.0
122337,1978.0
122337,1978.0
122337,1978.0
122334,1977.0
122334,1978.0
122334,1980.0
122328,1978.0
122327,1977.0
122320,1978.0
122320,1978.0
122320,1977.0
122320,1977.0
122317,1980.0
122316,1980.0
122316,1980.0
122316,1980.0
122316,1976.0
122316,1976.0
122316,1977.0
122316,1980.0
122316,1980.0
122316,1980.0
122313,1976.0
122311,1978.0
122311,1980.0
122311,1980.0
122311,1980.0
122311,1980.0
122311,1980.0
122311,1980.0
122311,1980.0
122311,1980.0
122311,1980.0
122311,1980.0
122311,1980.0
122311,1980.0
122311,1980.0
122310,1978.0
122309,1977.0
122309,1978.0
122309,1978.0
122309,1978.0
122309,1978.0
122308,1977.0
122308,1977.0
122308,1977.0
122304,1977.0
122300,1976.0
122259,1976.0
122258,1977.0
122258,1976.0
122258,1976.0
122258,1976.0
122258,1976.0
122258,1976.0
122257,1977.0
122257,1977.0
122252,1977.0
122252,1976.0
122252,1976.0
122252,1976.0
122252,1976.0
122250,1977.0
122250,1977.0
122250,1977.0
122250,1977.0
122250,1977.0
122250,1978.0
122250,1978.0
122249,1976.0
122249,1976.0
122248,1976.0
122248,1977.0
122247,1977.0
122247,1976.0
122247,1976.0
122247,1976.0
122247,1976.0
122247,1976.0
122245,1976.0
122245,1976.0
122245,1976.0
122245,1976.0
122245,1976.0
122243,1976.0
122243,1976.0
122241,1977.0
122241,1977.0
122241,1977.0
122241,1977.0
122241,1977.0
122241,1977.0
122241,1977.0
122238,1976.0
122238,1976.0
122238,1976.0
122238,1976.0
122234,1977.0
122232,1976.0
122230,1977.0
122230,1977.0
122223,1976.0
122223,1976.0
122223,1976.0
122223,1976.0
122219,1976.0
122219,1976.0
122219,1976.0
122219,1976.0
122219,1976.0
122217,1977.0
122213,1977.0
122210,1977.0
122210,1977.0
122210,1978.0
122210,1978.0
122210,1978.0
122204,1977.0
122203,1977.0
122203,1977.0
122201,1977.0
122201,1977.0
122200,1976.0
122159,1976.0
122157,1977.0
122155,1977.0
122155,1977.0
122155,1977.0
122155,1977.0
122146,1977.0
122146,1977.0
122146,1977.0
122142,1977.0
122140,1977.0
122140,1977.0
122140,1977.0
122129,1977.0
122123,1977.0
122120,1977.0
122120,1976.0
122120,1976.0
122120,1976.0
122120,1976.0
122120,1976.0
122120,1975.0
122120,1975.0
122120,1975.0
122120,1975.0
122117,1977.0
122117,1977.0
122117,1978.0
122117,1978.0
122104,1976.0
122104,1976.0
122103,1976.0
122103,1976.0
122103,1976.0
122103,1976.0
122102,1976.0
122102,1975.0
122101,1975.0
122101,1976.0
122059,1976.0
122058,1976.0
122058,1976.0
122058,1976.0
122057,1976.0
122053,1976.0
122050,1975.0
122048,1976.0
122048,1976.0
122047,1976.0
122046,1975.0
122045,1976.0
122043,1976.0
122043,1976.0
122043,1976.0
122042,1975.0
122041,1975.0
122041,1975.0
122041,1975.0
122041,1975.0
122041,1975.0
122041,1975.0
122038,1975.0
122038,1975.0
122038,1976.0
122035,1976.0
122033,1976.0
122030,1976.0
122026,1976.0
122025,1976.0
122022,1976.0
122022,1976.0
122022,1976.0
122022,1976.0
122022,1976.0
122022,1976.0
122022,1976.0
122022,1976.0
122022,1976.0
122022,1976.0
122022,1976.0
122022,1976.0
122022,1976.0
122022,1976.0
122022,1976.0
122022,1976.0
122022,1976.0
122013,1977.0
122012,1977.0
122012,1977.0
122012,1977.0
122012,1977.0
122010,1978.0
122001,1977.0
122001,1977.0
122000,1977.0
122000,1977.0
122000,1977.0
122000,1977.0
121959,1977.0
121957,1977.0
121955,1976.0
121955,1976.0
121955,1976.0
121955,1976.0
121948,1977.0
121947,1976.0
121946,1976.0
121946,1976.0
121946,1976.0
121946,1976.0
121946,1976.0
121946,1976.0
121946,1976.0
121946,1976.0
121946,1976.0
121946,1976.0
121946,1976.0
121946,1976.0
121944,1977.0
121944,1976.0
121944,1976.0
121944,1976.0
121944,1976.0
121942,1976.0
121942,1976.0
121942,1976.0
121942,1976.0
121942,1976.0
121942,1976.0
121942,1976.0
121940,1977.0
121935,1976.0
121934,1977.0
121931,1976.0
121928,1976.0
121922,1976.0
121921,1976.0
121917,1977.0
121914,1977.0
121914,1976.0
121914,1976.0
121914,1976.0
121914,1976.0
121914,1976.0
121911,1976.0
121909,1977.0
121906,1977.0
121906,1977.0
121905,1977.0
121904,1977.0
121903,1977.0
121903,1977.0
121903,1977.0
121903,1977.0
121903,1977.0
121903,1977.0
121903,1977.0
121903,1977.0
121903,1977.0
121903,1977.0
121903,1977.0
121903,1977.0
121903,1977.0
121903,1977.0
121903,1977.0
121903,1977.0
121903,1977.0
121903,1977.0
121903,1977.0
121903,1977.0
121903,1977.0
121903,1977.0
121903,1977.0
121903,1977.0
121902,1977.0
121901,1978.0
121901,1977.0
121900,1977.0
121900,1977.0
121855,1978.0
121854,1977.0
121854,1978.0
121852,1978.0
121852,1977.0
121852,1977.0
121850,1977.0
121849,1977.0
121849,1977.0
121848,1978.0
121847,1977.0
121847,1977.0
121847,1977.0
121842,1977.0
121842,1977.0
121842,1977.0
121842,1977.0
121842,1977.0
121840,1978.0
121839,1978.0
121838,1977.0
121838,1977.0
121837,1978.0
121833,1978.0
121829,1978.0
121826,1978.0
121826,1978.0
121826,1977.0
121821,1979.0
121816,1979.0
121816,1979.0
121815,1979.0
121815,1979.0
121815,1979.0
121813,1980.0
121808,1979.0
121808,1979.0
121807,1979.0
121806,1979.0
121801,1980.0
121759,1979.0
121758,1978.0
121758,1979.0
121758,1979.0
121758,1979.0
121758,1979.0
121757,1978.0
121757,1978.0
121757,1978.0
121757,1978.0
121757,1978.0
121757,1978.0
121757,1978.0
121756,1978.0
121756,1979.0
121756,1978.0
121756,1978.0
121756,1978.0
121756,1978.0
121756,1978.0
121756,1978.0
121756,1978.0
121756,1978.0
121756,1978.0
121756,1978.0
121756,1978.0
121756,1978.0
121756,1978.0
121756,1978.0
121756,1978.0
121754,1978.0
121744,1978.0
121742,1978.0
121741,1978.0
121741,1978.0
121737,1978.0
121736,1979.0
121735,1978.0
121730,1978.0
121727,1978.0
121726,1979.0
121726,1978.0
121726,1978.0
121726,1978.0
121723,1978.0
121721,1978.0
121715,1978.0
121713,1978.0
121713,1978.0
121712,1978.0
121712,1978.0
121710,1979.0
121710,1979.0
121706,1979.0
121706,1979.0
121703,1978.0
121703,1978.0
121702,1979.0
121701,1978.0
121701,1978.0
121701,1978.0
121658,1979.0
121658,1979.0
121658,1979.0
121658,1979.0
121658,1979.0
121657,1979.0
121656,1978.0
121656,1979.0
121655,1978.0
121652,1978.0
121652,1979.0
121648,1979.0
