hEven,pTran
122605,2044.0
122602,2044.0
122601,2044.0
122600,2044.0
122558,2044.0
122554,2044.0
122554,2044.0
122553,2044.0
122553,2044.0
122552,2044.0
122551,2044.0
122550,2044.0
122546,2044.0
122542,2044.0
122542,2044.0
122542,2045.0
122536,2044.0
122536,2044.0
122536,2044.0
122535,2045.0
122535,2045.0
122535,2045.0
122524,2044.0
122519,2045.0
122514,2044.0
122513,2045.0
122513,2045.0
122507,2044.0
122507,2044.0
122507,2044.0
122507,2044.0
122507,2044.0
122507,2044.0
122507,2044.0
122504,2045.0
122504,2045.0
122504,2046.0
122504,2046.0
122504,2046.0
122456,2045.0
122453,2045.0
122453,2045.0
122453,2045.0
122453,2045.0
122450,2045.0
122450,2045.0
122450,2046.0
122450,2046.0
122450,2047.0
122449,2045.0
122449,2045.0
122449,2045.0
122442,2046.0
122441,2046.0
122441,2045.0
122441,2045.0
122439,2046.0
122438,2045.0
122437,2046.0
122435,2046.0
122435,2046.0
122435,2046.0
122429,2045.0
122427,2046.0
122427,2046.0
122427,2046.0
122421,2045.0
122421,2045.0
122415,2046.0
122414,2045.0
122405,2046.0
122405,2046.0
122405,2046.0
122405,2046.0
122405,2046.0
122405,2045.0
122405,2045.0
122405,2045.0
122405,2045.0
122405,2045.0
122405,2046.0
122405,2046.0
122405,2046.0
122405,2046.0
122405,2046.0
122403,2047.0
122403,2048.0
122402,2047.0
122359,2047.0
122359,2047.0
122358,2047.0
122353,2047.0
122353,2047.0
122353,2047.0
122352,2048.0
122351,2048.0
122349,2047.0
122349,2047.0
122349,2048.0
122349,2048.0
122349,2048.0
122349,2048.0
122346,2047.0
122344,2048.0
122342,2047.0
122335,2047.0
122335,2047.0
122335,2047.0
122335,2047.0
122335,2047.0
122335,2047.0
122334,2046.0
122330,2047.0
122327,2046.0
122326,2047.0
122323,2046.0
122317,2046.0
122316,2046.0
122313,2046.0
122312,2046.0
122308,2046.0
122307,2046.0
122307,2046.0
122303,2046.0
122303,2046.0
122303,2046.0
122303,2045.0
122259,2045.0
122254,2045.0
122247,2046.0
122244,2046.0
122244,2046.0
122244,2046.0
122238,2045.0
122237,2045.0
122237,2045.0
122237,2046.0
122230,2046.0
122229,2046.0
122212,2046.0
122212,2046.0
122212,2046.0
122208,2045.0
122200,2046.0
122156,2047.0
122156,2047.0
122156,2047.0
122156,2047.0
122156,2047.0
122156,2047.0
122156,2047.0
122156,2048.0
122156,2048.0
122156,2048.0
122156,2048.0
122155,2046.0
122155,2046.0
122155,2046.0
122155,2046.0
122155,2046.0
122154,2046.0
122154,2046.0
122154,2047.0
122152,2046.0
122152,2046.0
122152,2046.0
122150,2046.0
122147,2047.0
122146,2047.0
122138,2047.0
122138,2047.0
122138,2047.0
122138,2047.0
122138,2047.0
122138,2047.0
122138,2047.0
122138,2047.0
122137,2046.0
122132,2046.0
122124,2046.0
122124,2046.0
122122,2046.0
122120,2046.0
122120,2046.0
122119,2046.0
122112,2046.0
122110,2046.0
122110,2046.0
122108,2046.0
122108,2046.0
122108,2046.0
122106,2047.0
122100,2046.0
122050,2046.0
122044,2047.0
122041,2046.0
122032,2047.0
122032,2046.0
122028,2046.0
122028,2046.0
122028,2046.0
122022,2046.0
122021,2046.0
122019,2046.0
122018,2046.0
122018,2046.0
122013,2046.0
121959,2045.0
121959,2046.0
121959,2046.0
121957,2045.0
121957,2046.0
121954,2045.0
121954,2045.0
121954,2045.0
121954,2046.0
121954,2046.0
121953,2045.0
121950,2045.0
121946,2045.0
121946,2045.0
121935,2046.0
121935,2046.0
121934,2046.0
121934,2046.0
121934,2046.0
121934,2046.0
121934,2046.0
121932,2047.0
121924,2047.0
121923,2047.0
121922,2047.0
121920,2047.0
121920,2047.0
121920,2047.0
121911,2046.0
121908,2047.0
121906,2046.0
121905,2046.0
121855,2046.0
121855,2046.0
121855,2045.0
121855,2045.0
121855,2045.0
121850,2047.0
121850,2047.0
121850,2047.0
121850,2047.0
121850,2047.0
121850,2047.0
121849,2046.0
121845,2046.0
121843,2047.0
121834,2046.0
121834,2045.0
121834,2045.0
121834,2045.0
121834,2045.0
121834,2045.0
121829,2046.0
121827,2046.0
121827,2046.0
121827,2046.0
121827,2046.0
121827,2046.0
121827,2046.0
121827,2046.0
121827,2046.0
121827,2046.0
121827,2046.0
121827,2046.0
121827,2046.0
121825,2045.0
121822,2046.0
121816,2045.0
121815,2046.0
121814,2045.0
121809,2045.0
121807,2045.0
121806,2046.0
121758,2045.0
121746,2045.0
121746,2045.0
121746,2045.0
121746,2045.0
121746,2045.0
121740,2045.0
121737,2045.0
121735,2045.0
121735,2045.0
121730,2045.0
121729,2045.0
121729,2045.0
121729,2045.0
121726,2045.0
121726,2045.0
121724,2045.0
121722,2045.0
121717,2045.0
121715,2045.0
121708,2045.0
121700,2045.0
121658,2045.0
121655,2046.0
121653,2045.0
121650,2045.0
121647,2045.0
121642,2046.0
121637,2045.0
121637,2046.0
121636,2046.0
121636,2046.0
121636,2045.0
121636,2045.0
121635,2046.0
121635,2046.0
121634,2046.0
121634,2046.0
121634,2046.0
121634,2046.0
121634,2046.0
121630,2045.0
121621,2045.0
121617,2045.0
121611,2045.0
121610,2045.0
